index,true_labels,predicted_labels,model_output
0,[],[],“Other”
1,[],[],“Other”
2,[],['Contract by using'],“Contract by using”
3,[],['Contract by using'],“Contract by using”
4,['Arbitration'],['Arbitration'],Arbitration
5,[],[],“Other”
6,[],[],“Other”
7,[],[],“Other”
8,[],[],“Other”
9,[],[],“Other”
10,[],[],“Other”
11,[],[],“Other”
12,['Contract by using'],[],“Other”
13,[],['Unilateral termination'],“Unilateral termination”
14,[],[],“Other”
15,['Unilateral change'],[],“Other”
16,[],[],“Other”
17,[],[],“Other”
18,['Contract by using'],[],“Other”
19,[],['Limitation of liability'],“Limitation of liability”
20,[],[],“Other”
21,[],[],“Other”
22,[],[],“Other”
23,[],[],“Other”
24,[],[],“Other”
25,[],[],Other
26,[],[],“Other”
27,[],[],Other
28,[],[],“Other”
29,[],[],“Other”
30,['Unilateral termination'],[],“Other”
31,[],[],Other
32,[],['Limitation of liability'],“Limitation of liability”
33,[],[],Other
34,[],['Contract by using'],“Contract by using”
35,[],[],“Subscription”
36,[],[],“Payment”
37,[],[],“Other”
38,[],[],“Other”
39,[],[],“Other”
40,[],[],“Other”
41,[],[],“Other”
42,[],[],“Other”
43,[],['Limitation of liability'],“Limitation of liability”
44,[],[],“Other”
45,[],[],“Other”
46,[],['Unilateral termination'],“Unilateral termination”
47,[],[],“Other”
48,[],[],“Other”
49,[],[],“Other
50,[],[],“Other”
51,[],[],“Other”
52,[],[],“Other”
53,[],[],“Other”
54,[],[],“Other”
55,[],[],“Cancellation of subscriptions”
56,['Unilateral termination'],['Unilateral change'],“Unilateral change”
57,[],[],“Cancellation”
58,[],[],“Other”
59,[],['Limitation of liability'],“Limitation of liability”
60,[],[],“Other”
61,[],['Limitation of liability'],“Limitation of liability”
62,[],[],“Other”
63,[],['Unilateral change'],“Unilateral change”
64,[],[],“Termination”
65,[],[],“Other”
66,[],[],“Taxation”
67,"['Unilateral change', 'Unilateral termination']",['Arbitration'],Arbitration
68,[],['Limitation of liability'],“Limitation of liability”
69,[],[],“Other”
70,[],['Contract by using'],“Contract by using”
71,[],[],“Other”
72,[],[],“Other”
73,[],[],“Other”
74,[],[],“Other”
75,[],[],“Other”
76,[],[],“Other”
77,[],['Unilateral change'],“Unilateral change”
78,[],[],“Other”
79,[],[],“Other”
80,[],[],“Other”
81,[],[],“Other”
82,[],[],“Other”
83,[],[],“Other”
84,[],['Arbitration'],Arbitration
85,[],[],“Other”
86,[],[],“Other”
87,[],[],“Other”
88,[],['Arbitration'],Arbitration
89,[],[],“Other”
90,[],[],“Other”
91,[],[],“Other”
92,[],[],“Other”
93,[],[],“Other”
94,[],[],“Other”
95,[],[],Other
96,[],[],“Other
97,[],[],“Other”
98,[],[],“Other”
99,[],['Content removal'],Content removal
100,[],['Content removal'],“Content removal”
101,[],[],Other
102,[],['Content removal'],“Content removal”
103,[],[],“Other”
104,[],['Arbitration'],Arbitration
105,[],[],“Other”
106,[],['Unilateral change'],“Unilateral change”
107,[],[],“Other”
108,[],[],“Other”
109,[],['Arbitration'],Arbitration
110,[],['Content removal'],“Content removal
111,[],['Arbitration'],Arbitration
112,[],['Content removal'],“Content removal
113,[],[],“Other”
114,[],[],“Other
115,[],[],Other
116,[],[],“Other”
117,[],[],“Other”
118,[],[],“Other”
119,"['Content removal', 'Unilateral termination']",['Arbitration'],Arbitration
120,[],[],“Other”
121,['Unilateral termination'],[],“Other”
122,[],[],“Other”
123,[],[],“Other”
124,[],[],“Other”
125,[],[],“Other”
126,[],[],“Other”
127,['Unilateral termination'],[],“Other”
128,['Unilateral termination'],['Arbitration'],Arbitration
129,['Unilateral termination'],['Arbitration'],Arbitration
130,[],['Limitation of liability'],“Limitation of liability”
131,[],[],“Other”
132,[],[],“Other”
133,[],[],“Other”
134,[],[],“Other”
135,[],[],“Other”
136,[],[],“Other”
137,[],[],“Other”
138,[],[],“Other”
139,[],[],“Other”
140,[],['Limitation of liability'],“Limitation of liability”
141,[],['Limitation of liability'],“Limitation of liability”
142,['Limitation of liability'],[],“Other
143,['Limitation of liability'],['Limitation of liability'],Limitation of liability
144,[],['Limitation of liability'],“Limitation of liability”
145,[],[],“Other”
146,[],[],“Trademark”
147,[],[],“Other”
148,['Choice of law'],['Contract by using'],“Contract by using“
149,[],[],“Other”
150,[],[],“Other”
151,[],[],“Other”
152,[],[],“Other”
153,[],[],“Other”
154,[],[],“Other”
155,[],[],Other
156,['Arbitration'],['Arbitration'],Arbitration
