text,labels_text
"notice to california subscribers : you may cancel your subscription , without penalty or obligation , at any time prior to midnight of the third business day following the date you subscribed . 
",Other
"if you subscribed using your apple id , refunds are handled by apple , not tinder . 
",Other
"if you wish to request a refund , please visit https://getsupport.apple.com . 
",Other
"if you subscribed using your google play store account or through tinder online : contact customer support 
",Other
"key changes in this version : we 've included a legal notice required under california law regarding refunds and updated our legal name to match group , llc 
",Other
"for a summary of our terms of use , go to summary of terms . 
",Other
"welcome to tinder , operated by match group , llc ( `` us , '' `` we , '' the `` company '' or `` tinder '' ) . 
",Other
"acceptance of terms of use agreement . 
",Other
"by creating a tinder account or by using the tinder imessage app ( `` tinder stacks '' ) , whether through a mobile device , mobile application or computer ( collectively , the `` service '' ) you agree to be bound by ( i ) these terms of use , ( ii ) our privacy policy and safety tips , each of which is incorporated by reference into this agreement , and ( iii ) any terms disclosed and agreed to by you if you purchase additional features , products or services we offer on the service ( collectively , this `` agreement '' ) . 
",Contract by using
"if you do not accept and agree to be bound by all of the terms of this agreement , please do not use the service . 
",Other
"we may make changes to this agreement and to the services from time to time . 
",Unilateral change
"we may do this for a variety of reasons including to reflect changes in or requirements of the law , new features , or changes in business practices . 
",Other
"the most recent version of this agreement will be posted on the services under settings and also on gotinder.com , and you should regularly check for the most recent version . 
",Unilateral change
"the most recent version is the version that applies . 
",Other
"if the changes include material changes that affect your rights or obligations , we will notify you in advance of the changes by reasonable means , which could include notification through the services or via email . 
",Other
"if you continue to use the services after the changes become effective , then you agree to the revised agreement . 
",Contract by using
"you must be at least 18 years of age to create an account on tinder and use the service . 
",Other
"by creating an account and using the service , you represent and warrant that : 
",Other
"you can form a binding contract with tinder , 
",Other
"you are not a person who is barred from using the service under the laws of the united states or any other applicable jurisdiction -- meaning that you do not appear on the u.s. treasury department 's list of specially designated nationals or face any other similar prohibition , 
",Other
"you will comply with this agreement and all applicable local , state , national and international laws , rules and regulations , and 
",Other
"you have never been convicted of a felony and that you are not required to register as a sex offender with any state , federal or local sex offender registry . 
",Other
"in order to use tinder , you may sign in using your facebook login . 
",Other
"if you do so , you authorize us to access and use certain facebook account information , including but not limited to your public facebook profile and information about facebook friends you share in common with other tinder users . 
",Other
"for more information regarding the information we collect from you and how we use it , please consult our privacy policy . 
",Other
"you are responsible for maintaining the confidentiality of your login credentials you use to sign up for tinder , and you are solely responsible for all activities that occur under those credentials . 
",Other
"if you think someone has gained access to your account , please immediately contact help@gotinder.com . 
",Other
"tinder stacks is an imessage app that allows users to have a tinder-like experience outside of tinder . 
",Other
"through tinder stacks , you can select photos from your mobile device to create your own card stack to share with your contacts . 
",Other
"contacts who have tinder stacks will be able to vote on the photos by swiping right , swiping left or using the voting buttons . 
",Other
"tinder stacks operates separately from the main tinder experience , so when you use tinder stacks , you are n't creating an account , logging in with facebook , sharing your facebook details with us or creating a profile that will be shown on tinder . 
",Other
"modifying the services and termination . 
",Other
"tinder is always striving to improve the services and bring you additional functionality that you will find engaging and useful . 
",Other
"this means we may add new product features or enhancements from time to time as well as remove some features , and if these actions do not materially affect your rights or obligations , we may not provide you with notice before taking them.we may even suspend the services entirely , in which event we will notify you in advance unless extenuating circumstances , such as safety or security concerns , prevent us from doing so . 
","Content removal, Unilateral change, Unilateral termination"
